Sexo;Estado;Cidade;Força;Posto Graduação;Possui Medalha de <br /> Mérito Desportivo Militar;Modalidade;Possui Bolsa Atleta;PAAR
Feminino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Masculino;SP;Iperó;MB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Masculino;BA;Salvador;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;SP;Diadema;MB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Masculino;BA;Salvador;MB;Terceiro Sargento;Não;Maratonas Aquáticas;Sim;Sim
Masculino;RS;PORTO ALEGRE;MB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Masculino;SP;CATANDUVA;MB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Masculino;;;MB;Terceiro Sargento;Sim;Vôlei de Praia;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;RJ;Rio de Janeiro;FAB;Suboficial R/1;Sim;Judô;Não;Sim
Feminino;SP;SÃO PAULO;MB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Sim;Vela;Não;Sim
Feminino;;;MB;Terceiro Sargento;Sim;Maratonas Aquáticas;Sim;Sim
Feminino;SP;Sao Paulo;MB;Terceiro Sargento;Não;Maratona;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Futebol;Não;Sim
Feminino;SP;BRAGANÇA PAULIS;MB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Feminino;DF;Brasília ;FAB;Terceiro Sargento;Não;Tiro;Sim;Sim
Masculino;;;MB;Terceiro Sargento;Não;Vôlei de Praia;Sim;Sim
Masculino;RJ;Niterói ;MB;Terceiro Sargento;Não;Vela;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Futebol;Não;Sim
Masculino;SP;São Paulo;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Atletismo;Não;Sim
Feminino;;;EB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Masculino;;;EB;Soldado;Não;Vôlei;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Masculino;RS;POA;EB;Soldado;Não;Maratonas Aquáticas;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;;;EB;Terceiro Sargento R/1;Não;Esgrima;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Judô;Não;Sim
Masculino;;;EB;Terceiro Sargento;Sim;Atletismo;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Natação;Sim;Sim
Masculino;RJ;Campos;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Sim;Esgrima;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei;Sim;Sim
Feminino;SP;Cotia;EB;Terceiro Sargento;Não;Esgrima;Sim;Sim
Feminino;SP;Boituva;EB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Esgrima;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Sim;Vôlei de Praia;Sim;Sim
Masculino;RJ ;Rio de Janeiro ;EB;Terceiro Sargento;Sim;Futebol;Não;Sim
Masculino;;;EB;Terceiro Sargento;Sim;Natação;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Feminino;TO;Palmas;MB;Terceiro Sargento;Não;Canoagem Velocidade;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei;Não;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Não;Sim
Masculino;;;EB;Soldado;Não;Pentatlo Moderno;Não;Sim
Masculino;SP;;FAB;Terceiro Sargento;Sim;Ginástica Artística;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Sim;Ginástica Artística;Sim;Sim
Masculino;DF;Brasília;MB;Segundo-Tenente R/1;Sim;Futebol;Sim;Sim
Masculino;MG;BELO HORIZONTE;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Feminino;MG;Juiz de Fora;MB;Terceiro Sargento;Sim;Boxe;Sim;Sim
Masculino;SP;São Paulo;MB;Terceiro Sargento;Sim;Natação;Sim;Sim
Feminino;RS;Porto Alegre ;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;SP;SÃO PAULO;MB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Sim;Vela;Não;Sim
Masculino;;;FAB;Terceiro Sargento;Sim;Tiro com Arco;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Maratonas Aquáticas;Sim;Sim
Feminino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Pentatlo Moderno;Não;Sim
Feminino;RJ;Nilopolis ;FAB;Terceiro Sargento;Não;Tiro;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Pentatlo Militar;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Levantamento de Peso;Sim;Sim
Feminino;SP;Boituva ;EB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei;Sim;Sim
Masculino;RJ;Rio de Janeiro;EB;Soldado;Não;Judô;Não;Sim
Masculino;ES ;Vila Velha ;MB;Terceiro Sargento;Sim;Vôlei de Praia;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Esgrima;Sim;Sim
Feminino;BA;Camaçari;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Feminino;RJ;Rio de Janeiro ;MB;Terceiro Sargento;Sim;Vôlei de Praia;Sim;Sim
Masculino;SP;Guarulhos;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Sim;Sim
Feminino;SP;São Paulo;MB;Terceiro Sargento;Não;Taekwondo;Não;Sim
Feminino;SP;São José dos Ca;MB;Terceiro Sargento;Não;Futebol;Não;Sim
Masculino;SE;Aracaju;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Feminino;CE;Euzébio;MB;Terceiro Sargento;Não;Vôlei de Praia;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Feminino;RJ;RIO DE JANEIRO;MB;Terceiro Sargento R/1;Sim;Atletismo;Sim;Sim
Feminino;SP;São Paulo;MB;Terceiro Sargento;Não;Natação;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Golfe;Não;Sim
Masculino;AL;Maceió;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Masculino;MG;Belo Horizonte;FAB;Terceiro Sargento;Não;Ginástica Artística;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Feminino;RJ;Niterói;MB;Terceiro Sargento R/1;Não;Lifesaving;Sim;Sim
Masculino;;;MB;Terceiro Sargento;Não;Lifesaving;Não;Sim
Masculino;;;EB;Soldado;Não;Boxe;Sim;Sim
Masculino;RJ;RIO DE JANEIRO;MB;Capitão de Mar e Guerra RM1;Sim;Pentatlo Naval;Não;Sim
Masculino;RJ;Duque de Caxias;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Masculino;RS;Porto Alegre;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Masculino;;;MB;Terceiro Sargento;Não;Golfe;Não;Sim
Masculino;RJ;Itaboraí;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;MG;Belo Horizonte;FAB;Terceiro Sargento;Sim;Tiro com Arco;Sim;Sim
Masculino;CE;Fortaleza;FAB;Terceiro Sargento;Não;Triatlo;Sim;Sim
Masculino;RJ;;EB;Terceiro Sargento;Não;Pentatlo Moderno;Sim;Sim
Masculino;GO;Goiania ;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Masculino;RS ;Porto Alegre ;EB;Terceiro Sargento R/1;Não;Judô;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Sim;Judô;Sim;Sim
Masculino;SP;São Paulo;FAB;Terceiro Sargento;Não;Atletismo;Sim;Sim
